;year;temp_diff;station_id;name;latitude;longitude;altitude
116;1958-01-01;0.15258064516128922;1300;Eslohe;51.254;8.1565;351
117;1959-01-01;0.7225806451612904;1300;Eslohe;51.254;8.1565;351
118;1960-01-01;0.2225806451612895;1300;Eslohe;51.254;8.1565;351
119;1961-01-01;0.7125806451612888;1300;Eslohe;51.254;8.1565;351
120;1962-01-01;-1.1974193548387104;1300;Eslohe;51.254;8.1565;351
121;1963-01-01;-1.3274193548387103;1300;Eslohe;51.254;8.1565;351
122;1964-01-01;-0.01741935483871071;1300;Eslohe;51.254;8.1565;351
123;1965-01-01;-0.9074193548387104;1300;Eslohe;51.254;8.1565;351
124;1966-01-01;0.3625806451612892;1300;Eslohe;51.254;8.1565;351
125;1967-01-01;0.6325806451612888;1300;Eslohe;51.254;8.1565;351
126;1968-01-01;-0.10741935483871057;1300;Eslohe;51.254;8.1565;351
127;1969-01-01;-0.2674193548387107;1300;Eslohe;51.254;8.1565;351
128;1970-01-01;-0.37741935483871014;1300;Eslohe;51.254;8.1565;351
129;1971-01-01;0.09258064516128961;1300;Eslohe;51.254;8.1565;351
130;1972-01-01;-0.50741935483871;1300;Eslohe;51.254;8.1565;351
131;1973-01-01;-0.027419354838710497;1300;Eslohe;51.254;8.1565;351
132;1974-01-01;0.44258064516128925;1300;Eslohe;51.254;8.1565;351
133;1975-01-01;0.6325806451612888;1300;Eslohe;51.254;8.1565;351
134;1976-01-01;0.1625806451612899;1300;Eslohe;51.254;8.1565;351
135;1977-01-01;0.43258064516128947;1300;Eslohe;51.254;8.1565;351
136;1978-01-01;-0.4174193548387102;1300;Eslohe;51.254;8.1565;351
137;1979-01-01;-0.6574193548387104;1300;Eslohe;51.254;8.1565;351
138;1980-01-01;-0.3374193548387101;1300;Eslohe;51.254;8.1565;351
139;1981-01-01;-0.0874193548387101;1300;Eslohe;51.254;8.1565;351
140;1982-01-01;0.622580645161289;1300;Eslohe;51.254;8.1565;351
141;1983-01-01;0.6025806451612894;1300;Eslohe;51.254;8.1565;351
142;1984-01-01;-0.07741935483871032;1300;Eslohe;51.254;8.1565;351
143;1985-01-01;-0.9674193548387109;1300;Eslohe;51.254;8.1565;351
144;1986-01-01;-0.35741935483871057;1300;Eslohe;51.254;8.1565;351
145;1987-01-01;-0.5374193548387103;1300;Eslohe;51.254;8.1565;351
146;1988-01-01;0.8925806451612903;1300;Eslohe;51.254;8.1565;351
147;1989-01-01;1.2325806451612902;1300;Eslohe;51.254;8.1565;351
148;1990-01-01;1.1325806451612888;1300;Eslohe;51.254;8.1565;351
149;1991-01-01;-0.06741935483871053;1300;Eslohe;51.254;8.1565;351
150;1992-01-01;0.9225806451612897;1300;Eslohe;51.254;8.1565;351
151;1993-01-01;0.2225806451612895;1300;Eslohe;51.254;8.1565;351
152;1994-01-01;1.5325806451612891;1300;Eslohe;51.254;8.1565;351
153;1995-01-01;0.8525806451612894;1300;Eslohe;51.254;8.1565;351
154;1996-01-01;-0.7774193548387105;1300;Eslohe;51.254;8.1565;351
155;1997-01-01;0.8325806451612898;1300;Eslohe;51.254;8.1565;351
156;1998-01-01;0.8925806451612903;1300;Eslohe;51.254;8.1565;351
157;1999-01-01;1.3425806451612896;1300;Eslohe;51.254;8.1565;351
158;2000-01-01;;1300;Eslohe;51.254;8.1565;351
159;2001-01-01;;1300;Eslohe;51.254;8.1565;351
160;2002-01-01;;1300;Eslohe;51.254;8.1565;351
161;2003-01-01;;1300;Eslohe;51.254;8.1565;351
162;2004-01-01;;1300;Eslohe;51.254;8.1565;351
